japanese/_name,japanese/__text,text/_name,text/__text
Japanese,月,Meaning,"つき、ゲツ、ガツ/moon, month"
Japanese,木,Meaning,"き、ボク、モク/ tree, wood"
Japanese,学,Meaning,まな(ぶ)、ガク/ learn
Japanese,帰,Meaning,"かえ(る)、キ/ go home, return"
Japanese,見,Meaning,"み(る)、ケン/ see, watch"
Japanese,川,Meaning,かわ、セン/ river
Japanese,飲,Meaning,の(む)、イン/ drink
Japanese,北,Meaning,きた、ホク/ North
Japanese,生,Meaning,い(きる)、う(まれる)、は(える)、なま、セイ、ショウ/ Life
Japanese,石,Meaning,いし、セキ、キャク、コク/ stone
Japanese,元,Meaning,もと、ゲン、ガン/ origin
Japanese,暗,Meaning,くら(い)、アン/ dark
Japanese,口,Meaning,くち、コウ、ク/ mouth
Japanese,聞,Meaning,"き(く)、ブン、モン/ hear, listen, ask"
Japanese,千,Meaning,ち、セン/ thousand
Japanese,本,Meaning,もと、ホン/ Book
Japanese,大,Meaning,"おお(きい)、ダイ、タイ/ large, big"
Japanese,来,Meaning,く(る)、き(ます)、こ(ない)、ライ/ come
Japanese,茶,Meaning,チャ、サ/ tea
Japanese,左,Meaning,ひだり、サ/ left
Japanese,車,Meaning,くるま、シャ/ car
Japanese,右,Meaning,みぎ、ウ、ユウ/ right
Japanese,寺,Meaning,てら、でら、ジ/ Buddhist temple
Japanese,先,Meaning,さき、ま(ず)、セン/ before
Japanese,竹,Meaning,たけ、チク/ bamboo
Japanese,足,Meaning,あし、たりる、たす/ leg、food
Japanese,食,Meaning,た(べる)、く(う)、ショク/ eat
Japanese,百,Meaning,もも、ヒャク/ hundred
Japanese,西,Meaning,にし、セイ、サイ、ス/ West
Japanese,間,Meaning,あいだ、ま、カン、ケン　/ interval
Japanese,中,Meaning,"なか、うち、チュウ/ middle, inside"
Japanese,下,Meaning,した、さ(げる)、お(りる)、カ、ゲ/ down
Japanese,言,Meaning,い(う)、こと、ゲン、ゴン/ say
Japanese,友,Meaning,とも、ユウ/ friend
Japanese,校,Meaning,コウ、キュウ/ school
Japanese,円,Meaning,まる(い)、エン/ round
Japanese,父,Meaning,ちち、フ/ father
Japanese,年,Meaning,とし、ネン/ year
Japanese,体,Meaning,からだ、タイ、テイ/ body
Japanese,馬,Meaning,うま、ま、バ/ Horse
Japanese,休,Meaning,やす(む)、キュウ/ rest
Japanese,女,Meaning,おんな、め、ジョ、ニョ、ニョウ/ female
Japanese,新,Meaning,あたら(しい)、シン/ new
Japanese,好,Meaning,おの(む)、す(き)、コウ/ like
Japanese,高,Meaning,"たか(い)、コウ/ high, tall, expensive"
Japanese,耳,Meaning,みみ、ジ/ ear
Japanese,少,Meaning,"すく(ない)、すこ(し)/ few, little"
Japanese,音,Meaning,おと、ね、オン、イン/ sound
Japanese,読,Meaning,よ(む)、ドク/ read
Japanese,土,Meaning,つち、ド、ト/ soil
Japanese,犬,Meaning,いぬ、ケン/ dog
Japanese,手,Meaning,て、シュ、ズ/ hand
Japanese,花,Meaning,はな、カ、ケ/ flower
Japanese,火,Meaning,ひ、カ/ fire
Japanese,林,Meaning,はやし、りん/ grove(bosquet)
Japanese,東,Meaning,ひがし、トウ/ east
Japanese,水,Meaning,みず、スイ/ water
Japanese,古,Meaning,ふる(い)、コ/ old
Japanese,金,Meaning,かね、キン、コン、ゴン/ gold
Japanese,名,Meaning,な、メイ、ミュウ/ name
Japanese,町,Meaning,"まち、チョウ/ town, city"
Japanese,雨,Meaning,あめ、ウ/ rain
Japanese,子,Meaning,こ、ね、シ、ス、ツ/ Child
Japanese,母,Meaning,はは、も、ボ/ mother
Japanese,時,Meaning,とき、ジ　/  Time
Japanese,外,Meaning,そと、ほか、はず(れる)、ガイ、ゲ/ outside
Japanese,力,Meaning,ちから、リョク、リキ/ Power
Japanese,物,Meaning,もの、ブツ、モツ/ thing
Japanese,多,Meaning,おお(い)、タ/ Many
Japanese,岩,Meaning,いわ、ガン/ rock
Japanese,買,Meaning,か(う)、バイ/ Buy
Japanese,親,Meaning,"おや、した(しい)、シン/ parent, close"
Japanese,魚,Meaning,さかな、うお、ギョ/ fish
Japanese,方,Meaning,かた、ホウ/ direction
Japanese,話,Meaning,"はな(す)、はな(し)、ワ/ talk, story"
Japanese,目,Meaning,め、モク、ボク/ eye
Japanese,小,Meaning,"ちい(さい)、ショウ/ little, small"
Japanese,日,Meaning,"ひ、ニチ、ジツ/ Day, Sun"
Japanese,米,Meaning,こめ、よね、ベイ、マイ/ rice
Japanese,上,Meaning,うえ、あ(げる)、の(ぼる)、ジョウ/ Up
Japanese,肉,Meaning,ニク/ meat
Japanese,入,Meaning,い(れる)、はい(る)、ニュウ/ enter
Japanese,何,Meaning,なに、なん、カ/ what
Japanese,長,Meaning,なが(い)、チュウ/ long
Japanese,牛,Meaning,うし、ギュウ/ Cow
Japanese,玉,Meaning,たま、ギョク/ ball
Japanese,安,Meaning,"やす(い)、アン/ cheap, peaceful"
Japanese,明,Meaning,あか(るい)、メイ、ミョウ、ミン/ bright
Japanese,男,Meaning,おとこ、お、ダン、ナン/ Male
Japanese,半,Meaning,なか(ば)、はん　/ half
Japanese,鳥,Meaning,とり、チョウ/ bird
Japanese,気,Meaning,"いき、キ、ケ/ spirit, mind"
Japanese,今,Meaning,いま、コン、キン/ now
Japanese,南,Meaning,みなみ、ナン、ナ/ south
Japanese,夕,Meaning,ゆう、セキ/ evening
Japanese,山,Meaning,やま、サン、セン/ Mountain
Japanese,書,Meaning,か(く)、ショ/ write
Japanese,立,Meaning,た(つ)、リツ、リュウ/ stand
Japanese,電,Meaning,デン/ electric
Japanese,草,Meaning,くさ、ソウ/ grass
Japanese,分,Meaning,"わ(かる)、わ(ける)、フン、ブン/ understand, divide, part"
Japanese,森,Meaning,もり、シン/ forest
Japanese,出,Meaning,で(る)、だ(す)、シュツ/ leave
Japanese,人,Meaning,ひと、ジン、ニン/ person
Japanese,行,Meaning,い(く)、おこな(う)、コウ、ギョウ/ go
Japanese,田,Meaning,た、デン/ rice field
