japanese/_name,japanese/__text,text/_name,text/__text
Japanese,大奥,Meaning,おおおく/ Oooku (résidence des femmes de Shogun de l'époque d'EDO)
Japanese,開始,Meaning,"かいし/ start, beginning(n.)"
Japanese,部屋,Meaning,room (chambre)
Japanese,お客さん,Meaning,おきゃくさん/ customer
Japanese,実写,Meaning,live-action (photographie réelle)
Japanese,台所,Meaning,kitchen (salle)
Japanese,部,Meaning,ブ / club
Japanese,払,Meaning,"はら(う)、フッ/ payement, pay"
Japanese,低,Meaning,ひく(い)、テイ/ low
Japanese,春休み,Meaning,はるやすみ/ spring break
Japanese,運ぶ,Meaning,"はこびます、はこんで、はこんだ/ carry (porter, transporter)"
Japanese,思い出,Meaning,おもいで/ memory
Japanese,緑,Meaning,みどり、リョク/ green
Japanese,寒け,Meaning,さむけ/ frissons
Japanese,僕の弟,Meaning,ぼくのおとうと/ my younger brother
Japanese,地下鉄,Meaning,ちかてつ/ subway
Japanese,虹色,Meaning,にじいろ/ Rainbow-colored (irisé)
Japanese,強力,Meaning,powerful
Japanese,京,Meaning,キュウ、ケイ、キン/ Kyoto
Japanese,試験,Meaning,しけん/ test
Japanese,太,Meaning,ふと(い)、タ、タイ/ Thick
Japanese,計画,Meaning,plan
Japanese,太平洋,Meaning,たいへいよう/ pacific ocean
Japanese,宅,Meaning,タク/ home
Japanese,店,Meaning,みせ、テン/ shop
Japanese,積雪,Meaning,せきせつ/ snowfall (enneigement)
Japanese,客室,Meaning,きゃくしつ/ Guest room (chambre de client)
Japanese,写真,Meaning,photograph (photo)
Japanese,絹糸,Meaning,けんし/ silk thread (fil de soie)
Japanese,玉座,Meaning,ぎょくざ/ Throne
Japanese,週,Meaning,シュウ/ week
Japanese,指,Meaning,ゆび、シ/ finger
Japanese,走,Meaning,はし(る)、ソウ/ Running
Japanese,家,Meaning,いえ、や、カ、ケ/ House
Japanese,趣味,Meaning,しゅみ/ hobby
Japanese,交流,Meaning,échange
Japanese,働,Meaning,はたら(く)、ドウ/ Work
Japanese,新宿駅,Meaning,Shinjuku Station
Japanese,漢和,Meaning,かんわ/ chinois-japonais
Japanese,若者,Meaning,わかもの/ youth
Japanese,参考,Meaning,reference
Japanese,郵送,Meaning,ゆうそう/ envoi postal
Japanese,利,Meaning,き(く)、リ/ Interest
Japanese,歌手,Meaning,singer
Japanese,漢字,Meaning,かんじ/ Chinese characters
Japanese,有る,Meaning,有ります/ exister
Japanese,目玉,Meaning,めだま/ Eyeball
Japanese,無い,Meaning,None
Japanese,通信,Meaning,つうしん/ communication
Japanese,後,Meaning,"うし(ろ)、あと、のち、ゴ、コウ/ rear (derrière, après)"
Japanese,池上さん,Meaning,いけがみさん/ Ikegami-san
Japanese,湖の畔,Meaning,みずうみのほとり/ lakeside
Japanese,薬指,Meaning,くすりゆび/ ring finger
Japanese,会場,Meaning,venue (salle)
Japanese,平泳ぎ,Meaning,ひらおよぎ/ breaststroke (brasse)
Japanese,開始,Meaning,"かいし/ start, beginning"
Japanese,石油,Meaning,せきゆ/ oil (pétrole)
Japanese,雨が降る,Meaning,It rains
Japanese,希望を捨てないでね,Meaning,きぼうをすてないでね/ Don't give up hope
Japanese,4番,Meaning,No. 4
Japanese,同じ年,Meaning,Same year (même âge)
Japanese,黒,Meaning,くろ、コク/ black
Japanese,白い雲,Meaning,しろいくも/ White cloud
Japanese,集合,Meaning,set (ensemble)
Japanese,住む,Meaning,すむ、すみます、すんで、すんだ/ live
Japanese,黄金,Meaning,おうごん/ gold
Japanese,若い,Meaning,わかい/ young
Japanese,公園,Meaning,park
Japanese,市,Meaning,いち、シ/ city
Japanese,百円玉,Meaning,ひゃくえんだま/ Hundred yen coin
Japanese,写す,Meaning,うつして、うつした/ copy
Japanese,重,Meaning,かさ(ねる)、おも(い)、ジュウ、チュウ/ heavy
Japanese,遅,Meaning,おく(れる)、おそ(い)、おそ(く)、チ/ slow (be late)
Japanese,洋服,Meaning,ようふく/ occidental clothes
Japanese,晴,Meaning,は(れ)、は(れる)、ば(れ)、セイ/ Sunny
Japanese,歌,Meaning,うた、うた(う)、カ/ song
Japanese,走行,Meaning,Running (aller en courant)
Japanese,酒に酔う,Meaning,さけによう/ Get drunk (of sake)
Japanese,白,Meaning,しろ、ハク/ White
Japanese,春が来る,Meaning,はるがくる/ spring is coming
Japanese,服,Meaning,フク/ clothes
Japanese,白紙,Meaning,はくし/ blank paper
Japanese,宿題,Meaning,homework
Japanese,酒,Meaning,さけ、シュ/ Liquor (alcool)
Japanese,地理,Meaning,ちり/ geography
Japanese,姉妹都市,Meaning,しまいとし/ sister city (villes jumelées)
Japanese,快晴,Meaning,かいせい/ temps magnifique
Japanese,真,Meaning,まこと、シン/ true
Japanese,期待,Meaning,"きたい/ expectations (espoirs, attentes)"
Japanese,春,Meaning,はる、シュン/ spring
Japanese,強,Meaning,つよ(い)、キョウ、ゴウ/ strength

Japanese,朝食,Meaning,ちょうしょく/ breakfast
Japanese,昼休み,Meaning,ひるやすみ/ lunch break
Japanese,不安,Meaning,anxiety (inquiétude)
Japanese,問い合わせ,Meaning,といあわせ/ inquiry (demande de renseignements)
Japanese,所々,Meaning,ところどころ / Here and there (par endroit)
Japanese,馬に乗る,Meaning,うまにのる/ ride a horse
Japanese,作,Meaning,"つく(る)、サク、サッ/ Made by (faire, fabriquer)"
Japanese,中止,Meaning,cancel
Japanese,押,Meaning,お(す)、オウ/ push
Japanese,看病,Meaning,nursing (soin médical)
Japanese,軽,Meaning,かる(い)、ケイ/ light (poids)
Japanese,湖,Meaning,みずうみ、コ/ lake
Japanese,悲鳴,Meaning,ひめい/ scream
Japanese,石川県,Meaning,Ishikawa Prefecture
Japanese,詳細,Meaning,しょうさい/ detail
Japanese,様子,Meaning,ようす/ state (apparence)
Japanese,所持品,Meaning,しょじひん/ belongings (effets personnels)
Japanese,料理,Meaning,りょうり/ cooking
Japanese,番号,Meaning,number
Japanese,部活動,Meaning,Extracurricular activities (club de l'école)
Japanese,思,Meaning,おも(う)、シ/ Thoughts
Japanese,病人,Meaning,sick person
Japanese,合格,Meaning,ごうかく/ Passed (admission à l'examen)
Japanese,知,Meaning,"し(る)、チ/ knowledge, know"
Japanese,習う,Meaning,ならって、ならった/ learn
Japanese,作品,Meaning,さくひん/ œuvre
Japanese,短気,Meaning,short temper
Japanese,時計,Meaning,とけい/ clock
Japanese,朝ごはん,Meaning,あさごはん/ repas du matin
Japanese,売店,Meaning,magasin de vente
Japanese,医学,Meaning,medicine
Japanese,親,Meaning,おや、した(しい)、シン/ parent
Japanese,メール送信,Meaning,メールそうしん/ send e-mail
Japanese,洋服,Meaning,ようふく/ occidental clothes
Japanese,午後,Meaning,ごご/ afternoon
Japanese,秋,Meaning,あき、シュウ/ autumn
Japanese,売り場,Meaning,sales floor (rayon de vente)
Japanese,天才,Meaning,てんさい/ genius
Japanese,毎朝,Meaning,まいあさ/ Every morning
Japanese,いい味,Meaning,いいあじ/ good taste
Japanese,池,Meaning,いけ、チ/ pond (étang)
Japanese,治,Meaning,おさ(める)、なお(る)、チ、ジ/ govern
